Name,Transliteration,Meaning,Language
Lauri,,Laurel,Finnish
Leena,,Light,Finnish
Lumi,,Snow,Finnish
Maija,,Pearl,Finnish
Mikko,,Who is like God?,Finnish
Niina,,Graceful,Finnish
Onni,,"Happiness, luck",Finnish
Oona,,Noble,Finnish
Paavo,,Small,Finnish
Riikka,,Brave,Finnish
Sari,,Princess,Finnish
Sini,,Blue,Finnish
Taavi,,Beloved,Finnish
Taina,,A gift,Finnish
Veera,,Faith,Finnish
Aila,,Holy,Finnish
Aapo,,Father of Peace,Finnish
Aarni,,Oak Tree,Finnish
Akseli,,Defender of the People,Finnish
Aleksi,,Defender of Mankind,Finnish
Antero,,Manly,Finnish
Antti,,"Man, Brave",Finnish
Armas,,Beloved,Finnish
Arto,,Bear,Finnish
Aino,,The Only One,Finnish
Aili,,Holy,Finnish
Anneli,,Grace,Finnish
Asta,,Love,Finnish
Alina,,"Bright, Beautiful",Finnish
Aino,,The Only One,Finnish
Amanda,,Worthy of Love,Finnish
Alea,,"Noble, Kind",Finnish
Arja,,Graceful,Finnish
Annika,,Grace,Finnish
Alvi,,Elfin,Finnish
Aria,,Melody,Finnish
Anneli,,Grace,Finnish
Alma,,Soul,Finnish
Anni,,Grace,Finnish
Anya,,Grace,Finnish
Auli,,Helpful,Finnish
Aila,,Holy,Finnish
Aira,,Bird,Finnish
Aava,,The One Who Is True,Finnish
Aili,,Holy,Finnish
Aino,,The Only One,Finnish
Anniina,,Grace,Finnish
Armi,,Protector,Finnish
Asta,,Love,Finnish
Emma,,Whole,French
Louise,,Famous warrior,French
Jade,,Precious stone,French
Alice,,Noble,French
Chloé,,Blooming,French
Lina,,Delicate,French
Mila,,Gracious,French
Léa,,Weary,French
Manon,,Bitter,French
Rose,,Rose,French
Gabriel,,God is my strength,French
Louis,,Famous warrior,French
Raphaël,,God has healed,French
Jules,,Youthful,French
Adam,,"Man, earth",French
Lucas,,Light,French
Léo,,Lion,French
Hugo,,"Mind, intellect",French
Arthur,,Bear,French
Nathan,,Gift from God,French
Gaspard,,Keeper of the treasure,French
Simon,,He has heard,French
Aaron,,High mountain,French
Abel,,"Breath, vapor",French
Achille,,"Pain, grief",French
Lucien,,Light,French
Axel,,Father of peace,French
Aylan,,Handsome,French
Sacha,,Defender,French
Paul,,Small,French
Marceau,,Hammer,French
Mathéo,,Gift of God,French
Léon,,Lion,French
Liam,,Strong-willed,French
Pablo,,Small,French
Driss,,"Strong, powerful",French
Abriel,,God is my strength,French
Maël,,Chief,French
Ambre,,Amber,French
Noah,,"Rest, comfort",French
Alba,,Dawn,French
Eden,,Delightful place,French
Naël,,Gift of God,French
Isaac,,Laughter,French
Gabin,,"White, bright",French
Léna,,Light,French
Romy,,Rosemary,French
Anna,,Grace,French
Mia,,Mine,French
Mohamed,,Praiseworthy,French
Noé,,"Rest, comfort",French
Lou,,Famous warrior,French
Ethan,,"Strong, firm",French
Julia,,Youthful,French
Elena,,"Bright, shining",French
Elio,,Sun,French
Alma,,Nourishing,French
Agathe,,Good,French
Théo,,God’s gift,French
Iris,,Rainbow,French
Inaya,,"Care, protection",French
Tom,,Twin,French
Charlie,,Free man,French
Abigaïl,,My father is joy,French
Adalric,,Noble ruler,French
Adélaïde,,Noble kind,French
Adélard,,Noble strength,French
Adèle,,Noble,French
Adeline,,Noble kind,French
Adelmire,,"Noble, famous",French
Adolphe,,Noble wolf,French
Adrien,,Dark one,French
Adrienne,,"Dark, rich",French
Agnès,,Pure,French
Alain,,Handsome,French
Albert,,"Noble, bright",French
Aldegonde,,Noble protector,French
Alex,,Defender of men,French
Alexandra,,Defender of mankind,French
Alexandre,,Defender of mankind,French
Aliénor,,Light,French
Alix,,Noble,French
Alizé,,Joyful,French
Aloïs,,Famous warrior,French
Alphonse,,Ready for battle,French
Amandine,,Worthy of love,French
Amélie,,Hardworking,French
Amicie,,Friend,French
Anaïs,,"Gracious, merciful",French
Anatole,,Rising up,French
André,,"Manly, brave",French
Andrée,,"Manly, brave",French
Anémone,,Flower,French
Ange,,Angel,French
Angèle,,Messenger,French
Angelin,,Little angel,French
Angélique,,Angelic,French
Anne-Claude,,Graceful and famous,French
Anne-Sophie,,Grace and wisdom,French
Annick,,Grace,French
Annie,,Grace,FrenchFrench
Anouk,,Grace,FrenchFrench
Ansbert,,Divine strength,French
Anselme,,God’s protection,French
Anthelme,,Divine protection,French
Antoine,,Priceless,French
Antoinette,,Priceless,French
Apolline,,Of Apollo,French
Archambaud,,"Bold, brave",French
Ariane,,Most holy,French
Aristide,,"Best, excellent",French
Armand,,Soldier,French
Arnaud,,Eagle,French
Arnoul,,Eagle,French
Arnould,,Eagle,French
Arnoult,,Eagle,French
Arnulf,,Eagle wolf,French
Arsène,,"Strong, vigorous",French
Athénaïs,,"Wise, warlike",French
Aude,,Wealthy,French
Audrey,,Noble strength,French
Auguste,,Majestic,French
Aurèle,,Golden,French
Aurélie,,Golden,French
Aurore,,Dawn,French
Azalaïs,,"Noble, bright",French
Calista,,Most beautiful,French
Camille,,Attendant of the temple,French
Carine,,Beloved,French
Caroline,,Free man,French
Catherine,,Pure,French
Cécile,,Blind,French
Céline,,Heavenly,French
Césaire,,Long-haired,French
César,,Hairy,French
Chantal,,Stone,French
Charlemagne,,Charles the Great,French
Charles,,Free man,French
Charles-Alphonse,,"Free man, ready for battle",French
Charles-Auguste,,"Free man, majestic",French
Charlotte,,"Free man, petite",French
Christelle,,Follower of Christ,French
Christine,,Follower of Christ,French
Christophe,,Christ bearer,French
Chrodegang,,Strong in the battle,French
Claire,,"Clear, bright",French
Clara,,"Bright, clear",French
Claude,,Lame,French
Claudine,,Lame,French
Clémence,,Merciful,French
Clément,,Gentle,French
Clémentine,,Gentle,French
Clotilde,,Famous warrior,French
Colard,,Brave and strong,French
Coralie,,Maiden of the heart,French
Coraline,,Maiden of the heart,French
Corentin,,Helper,French
Corinne,,Maiden,French
Cornil,,Horned,French
Cunégonde,,Brave warrior,French
Edmé,,Wealthy,French
Élaine,,Light,French
Éléonore,,God is my light,French
Élisabeth,,God is my oath,French
Éloi,,Chosen one,French
Elvire,,"True, sincere",French
Émérencienne,,Diligent,French
Émiland,,Hard worker,French
Émile,,Rival,French
Émilie,,Rival,French
Émilien,,Rival,French
Enguerrand,,Brave warrior,French
Ermengarde,,Strong protector,French
Ernestine,,"Serious, determined",French
Estelle,,Star,French
Esther,,Star,French
Étienne,,Crowned one,French
Eudoxie,,Good reputation,French
Eugène,,Well-born,French
Eugénie,,Well-born,French
Eulalie,,Well-spoken,French
Euloge,,Well-spoken,French
Euphémie,,Good speech,French
Eurydice,,Wide justice,French
Eusébie,,Goodness,French
Eustache,,Sturdy,French
Ève,,Life,French
Évelyne,,Desired,French
Évrard,,"Brave, strong",French
Ангел,,Angel,FYRO Macedonian
Бојан,,Warrior,FYRO Macedonian
Василија,,Royalty,FYRO Macedonian
Гордана,,Proud,FYRO Macedonian
Дарко,,Gift,FYRO Macedonian
Елена,,"Bright, Shining",FYRO Macedonian
Жарко,,"Passionate, Fiery",FYRO Macedonian
Зора,,Dawn,FYRO Macedonian
Иван,,God is Gracious,FYRO Macedonian
Јана,,God is Gracious,FYRO Macedonian
Калин,,"Beautiful, Pure",FYRO Macedonian
Лидија,,From Lydia,FYRO Macedonian
Марија,,"Bitter, Beloved",FYRO Macedonian
Никола,,Victory of the People,FYRO Macedonian
Олга,,Holy,FYRO Macedonian
Петра,,Rock,FYRO Macedonian
Радослав,,Happy Glory,FYRO Macedonian
Светлана,,"Light, Pure",FYRO Macedonian
Тодор,,Gift of God,FYRO Macedonian
Урош,,Strong,FYRO Macedonian
Филип,,Lover of Horses,FYRO Macedonian
Христина,,Follower of Christ,FYRO Macedonian
Цветан,,"Blossom, Flower",FYRO Macedonian
Ќирил,,"Lordly, Masterful",FYRO Macedonian
Шарена,,Colorful,FYRO Macedonian
Ефимија,,"Pious, Devout",FYRO Macedonian
Глигор,,"Watchful, Alert",FYRO Macedonian
Даниела,,God is My Judge,FYRO Macedonian
Евгенија,,"Noble, Well-born",FYRO Macedonian
Живко,,"Alive, Living",FYRO Macedonian
Златка,,Golden,FYRO Macedonian
Илија,,My God is Yahweh,FYRO Macedonian
Јован,,God is Gracious,FYRO Macedonian
Камен,,Stone,FYRO Macedonian
Лазар,,God Has Helped,FYRO Macedonian
Магдалена,,From Magdala,FYRO Macedonian
Нина,,"Favor, Grace",FYRO Macedonian
Огнен,,Fiery,FYRO Macedonian
Ратко,,Warrior,FYRO Macedonian
Сашка,,Defender of Mankind,FYRO Macedonian
Татјана,,Fairy Queen,FYRO Macedonian
Филипка,,Lover of Horses,FYRO Macedonian
Харитон,,"Grace, Kindness",FYRO Macedonian
Цветана,,"Blossom, Flower",FYRO Macedonian'
Ќирилка,,"Lordly, Masterful",FYRO Macedonian
Шенка,,Bright,FYRO Macedonian
Ангела,,Angel,FYRO Macedonian
Божидар,,God’s Gift,FYRO Macedonian
Василиј,,Royalty,FYRO Macedonian
Горан,,Mountain Man,FYRO Macedonian
Дарина,,Gift,FYRO Macedonian
Елена,,"Bright, Shining",FYRO Macedonian
Жана,,God is Gracious,FYRO Macedonian
Зоран,,Dawn,FYRO Macedonian
Игор,,Warrior,FYRO Macedonian
Јасна,,"Clear, Bright",FYRO Macedonian
Калина,,"Beautiful, Pure",FYRO Macedonian
Леонида,,Lioness,FYRO Macedonian
Марко,,Warlike,FYRO Macedonian
Наташа,,Birthday of Christ,FYRO Macedonian
Орце,,Brave,FYRO Macedonian
Павлина,,Little,FYRO Macedonian
Радмила,,Happy Work,FYRO Macedonian
Светозар,,Enlightened,FYRO Macedonian
Трајче,,Strong,FYRO Macedonian
Уршка,,Strong,FYRO Macedonian
Флора,,Flower,FYRO Macedonian
Христо,,Follower of Christ,FYRO Macedonian
Цветко,,"Blossom, Flower",FYRO Macedonian
Ќиро,,"Lordly, Masterful",FYRO Macedonian
Шенка,,Bright,FYRO Macedonian
Емилија,,Rival,FYRO Macedonian
Бранко,,Defender,FYRO Macedonian
Василка,,Royalty,FYRO Macedonian
Горанка,,Mountain Woman,FYRO Macedonian
Дарјан,,Possessor of Goodness,FYRO Macedonian
Ефтим,,"Pious, Devout",FYRO Macedonian
Живка,,"Alive, Living",FYRO Macedonian
Златан,,Golden,FYRO Macedonian
Илија,,My God is Yahweh,FYRO Macedonian
Јована,,God is Gracious,FYRO Macedonian
Камена,,Stone,FYRO Macedonian
Лазо,,God Has Helped,FYRO Macedonian
Магдалена,,From Magdala,FYRO Macedonian
Нинко,,"Favor, Grace",FYRO Macedonian
Огњен,,Fiery,FYRO Macedonian
Ратка,,Warrior,FYRO Macedonian
Сашко,,Defender of Mankind,FYRO Macedonian
Татјан,,Fairy Queen,FYRO Macedonian
Филипе,,Lover of Horses,FYRO Macedonian
Харита,,"Grace, Kindness",FYRO Macedonian
Цветана,,"Blossom, Flower",FYRO Macedonian
Ќирилка,,"Lordly, Masterful",FYRO Macedonian
Шенка,,Bright,FYRO Macedonian
Анета,,Gracious,FYRO Macedonian
Билјана,,Duckweed,FYRO Macedonian
Велимир,,Great Peace,FYRO Macedonian
Гоце,,"Good, Godly",FYRO Macedonian
Драган,,"Dear, Beloved",FYRO Macedonian
Ева,,Life,FYRO Macedonian
Живко,,"Alive, Living",FYRO Macedonian
Зоран,,Dawn,FYRO Macedonian
Иванка,,God is Gracious,FYRO Macedonian
Јоана,,God is Gracious,FYRO Macedonian
Кирил,,"Lordly, Masterful",FYRO Macedonian
Леон,,Lion,FYRO Macedonian
Марија,,"Bitter, Beloved",FYRO Macedonian
Наталија,,Birthday of Christ,FYRO Macedonian
Ордан,,Brave,FYRO Macedonian
Пандора,,All-Gifted,FYRO Macedonian
Радољуб,,Happy Love,FYRO Macedonian
Саво,,"Elderly, Venerable",FYRO Macedonian
Танка,,Delicate,FYRO Macedonian
Уршка,,Strong,FYRO Macedonian
Флорина,,Flower,FYRO Macedonian
Христо,,Follower of Christ,FYRO Macedonian
Цветанка,,"Blossom, Flower",FYRO Macedonian
Ќиро,,"Lordly, Masterful",FYRO Macedonian
Шена,,Bright,FYRO Macedonian
Анастасија,,Resurrection,FYRO Macedonian
Борис,,"Battle, Fight",FYRO Macedonian
Василија,,Royalty,FYRO Macedonian
Гроздан,,From the Grape Vine,FYRO Macedonian
Дејан,,"Divine, Godly",FYRO Macedonian
Елена,,"Bright, Shining",FYRO Macedonian
Живка,,"Alive, Living",FYRO Macedonian
Зоран,,Dawn,FYRO Macedonian
Иван,,God is Gracious,FYRO Macedonian
Јовица,,Youthful,FYRO Macedonian
Кира,,"Lady, Mistress",FYRO Macedonian
Лилијана,,Lily,FYRO Macedonian
Миле,,"Gracious, Loving",FYRO Macedonian
Невенка,,"Maiden, Pure",FYRO Macedonian
Орданка,,Brave,FYRO Macedonian
Рада,,"Happy, Joyful",FYRO Macedonian
Савка,,"Elderly, Venerable",FYRO Macedonian
Тодорка,,Gift of God,FYRO Macedonian
Флоријан,,"Blooming, Flourishing",FYRO Macedonian
Христина,,Follower of Christ,FYRO Macedonian
Цветанка,,"Blossom, Flower",FYRO Macedonian
Ќиро,,"Lordly, Masterful",FYRO Macedonian
Шенка,,Bright,FYRO Macedonian
Андреја,,"Manly, Brave",FYRO Macedonian
Благоја,,"Sweet, Kind",FYRO Macedonian
Васка,,Royalty,FYRO Macedonian
Горјан,,Mountain Man,FYRO Macedonian
Дамјан,,"To Tame, Subdue",FYRO Macedonian
Елена,,"Bright, Shining",FYRO Macedonian
Живко,,"Alive, Living",FYRO Macedonian
Зоран,,Dawn,FYRO Macedonian
Иванка,,God is Gracious,FYRO Macedonian
Јоана,,God is Gracious,FYRO Macedonian
Кирил,,"Lordly, Masterful",FYRO Macedonian
Лазар,,God Has Helped,FYRO Macedonian
Магдалена,,From Magdala,FYRO Macedonian
Нина,,"Favor, Grace",FYRO Macedonian
Огњен,,Fiery,FYRO Macedonian
Пандора,,All-Gifted,FYRO Macedonian
Радољуб,,Happy Love,FYRO Macedonian
Саво,,"Elderly, Venerable",FYRO Macedonian
Танка,,Delicate,FYRO Macedonian
Уршка,,Strong,FYRO Macedonian
Флоријана,,Flower,FYRO Macedonian
Христо,,Follower of Christ,FYRO Macedonian
Цветанка,,"Blossom, Flower",FYRO Macedonian
Ќиро,,"Lordly, Masterful",FYRO Macedonian
Шенка,,Bright,FYRO Macedonian
ანა,Anna,Grace,Georgian
გიორგი,Giorgi,Farmer,Georgian
ნინო,Nino,Grace,Georgian
დავით,David,Beloved,Georgian
მარიამ,Mariam,Beloved,Georgian
თეიმურაზ,Teimuraz,Timur's son,Georgian
ლიკა,Lika,Bringer of light,Georgian
ირაკლი,Irakli,Great,Georgian
მიშა,Misha,Who is like God?,Georgian
ელენე,Elene,Shining light,Georgian
ნათია,Natia,Gift of God,Georgian
ლევან,Levan,Lion,Georgian
შოთა,Shota,Famous,Georgian
ზურაბ,Zurab,Bright,Georgian
თამარ,Tamar,Date palm,Georgian
ნატო,Nato,Gift,Georgian
ლაშა,Lasha,Light,Georgian
მარგალიტა,Margalita,Pearl,Georgian
ბესიკ,Besik,Blessed,Georgian
მიხეილ,Mikheil,Who is like God?,Georgian
გოჩა,Gocha,Famous,Georgian
ვლადიმერ,Vladimir,Famous ruler,Georgian
რევაზ,Revaz,Famous,Georgian
ეკატერინე,Ekaterine,Pure,Georgian
სოსო,Soso,Joyful,Georgian
ლუკა,Luka,Light,Georgian
მინდია,Mindia,Wise,Georgian
ბუბა,Buba,Popular,Georgian
ნუგზარ,Nugzar,Bright,Georgian
შალვა,Shalva,Peaceful,Georgian
ირინა,Irina,Peace,Georgian
ელგუჯა,Elguja,Bright,Georgian
გრიგოლი,Grigol,Vigilant,Georgian
მირანდა,Miranda,Wonderful,Georgian
ალექსანდრე,Aleksandre,Defender of men,Georgian
ილია,Ilya,God's gift,Georgian
ანუკი,Anuki,Graceful,Georgian
ბექა,Beka,Blessed,Georgian
ნატალია,Natalia,Birthday,Georgian
ნიკოლოზ,Nikoloz,Victory of the people,Georgian
რატი,Rati,Joyful,Georgian
გელა,Gela,Joy,Georgian
ზაურ,Zaur,Noble,Georgian
რამაზი,Ramazi,Strong,Georgian
ბაია,Baia,Beautiful,Georgian
ვახტანგ,Vakhtang,Ruler,Georgian
ლიკო,Likho,Bright,Georgian
მურთაზ,Murtaz,Blessed,Georgian
ელიზბარ,Elizbar,Generous,Georgian
ივერი,Iveri,Eternal,Georgian
მელორ,Melor,Sweet,Georgian
თინათინ,Tinatin,Pure,Georgian
მარინა,Marina,Sea,Georgian
სალომე,Salome,Peace,Georgian
ქეთი,Keti,Pure,Georgian
მზია,Mzia,Flower,Georgian
მირიან,Mirian,Wonderful,Georgian
სერგო,Sergo,Servant,Georgian
ქეთევან,Ketevan,Pure,Georgian
სესილია,Cecilia,Blind,Georgian
არჩილ,Archil,Bear,Georgian
კახაბერ,Kakhaber,Great,Georgian
მალხაზ,Malkhaz,Great,Georgian
გიგი,Gigi,Famous,Georgian
ნინა,Nina,Grace,Georgian
ვაჟა,Vazha,Famous,Georgian
ალიონა,Alyona,Light,Georgian
ბიძინა,Bidzina,Patriot,Georgian
დავითაური,Davit'auri,Descendant of David,Georgian
პაატა,Paata,Free,Georgian
გიორგი,Giorgi,Farmer,Georgian
ნოდარ,Nodari,Star,Georgian
ეკა,Eka,Pure,Georgian
ალიონა,Alyona,Light,Georgian
მირანდა,Miranda,Wonderful,Georgian
კახი,Kakhi,Great,Georgian
თამარ,Tamar,Date palm,Georgian
გრიგოლი,Grigol,Vigilant,Georgian
მიხეილ,Mikheil,Who is like God?,Georgian
მანანა,Manana,Gift of God,Georgian
ბელა,Bela,Beautiful,Georgian
გია,Gia,God's gift,Georgian
ნინო,Nino,Grace,Georgian
ლაშა,Lasha,Light,Georgian
ზვიად,Zviad,Bright,Georgian
გურამ,Guram,Famous,Georgian
რუსუდან,Rusudan,Peaceful,Georgian
თამარ,Tamar,Date palm,Georgian
ფატი,Fati,Joyful,Georgian
ბელა,Bela,Beautiful,Georgian
რატი,Rati,Joyful,Georgian
მარიამ,Mariam,Beloved,Georgian
ნატა,Nata,Gift,Georgian
კახა,Kaha,Great,Georgian
ლილუ,Lilu,Sweet,Georgian
ელგუჯა,Elguja,Bright,Georgian
შალვა,Shalva,Peaceful,Georgian
მალხაზ,Malkhaz,Great,Georgian
სერგო,Sergo,Servant,Georgian
ინგა,Inga,Pure,Georgian
ბაია,Baia,Beautiful,Georgian
ვასილ,Vasili,King,Georgian
ვლადიმერ,Vladimir,Famous ruler,Georgian
ზურაბ,Zurab,Bright,Georgian
ელენე,Elene,Shining light,Georgian
მარინა,Marina,Sea,Georgian
ნუკა,Nuka,Pure,Georgian
არჩილ,Archil,Bear,Georgian
რუსუდან,Rusudan,Peaceful,Georgian
ალიკა,Alika,Noble,Georgian
ბექა,Beka,Blessed,Georgian
სანდრო,Sandro,Defender,Georgian
გუგა,Guga,Joy,Georgian
ოთარ,Otari,Famous,Georgian
ლუკა,Luka,Light,Georgian
ირაკლი,Irakli,Great,Georgian
ლელა,Lela,Light,Georgian
ნუკა,Tiko,Light,Georgian
კახი,Gia,God's gift,Georgian
ვახტანგ,Soso,Joyful,Georgian
თინათინ,Teodore,Gift of God,Georgian
გია,Gia,God's gift,Georgian
თიკო,Tiko,Light,Georgian
სოსო,Soso,Joyful,Georgian
თეოდორე,Teodore,Gift of God,Georgian
Aaron,,High mountain,German
Albert,,"Noble, bright",German
Alexander,,Defender of the people,German
Andreas,,"Manly, brave",German
Anna,,Graceful,German
Anton,,"Priceless, inestimable",German
Benjamin,,Son of the right hand,German
Bruno,,Brown,German
Caroline,,Free woman,German
Christian,,Follower of Christ,German
Claudia,,"Lame, crippled",German
Daniel,,God is my judge,German
David,,Beloved,German
Diana,,Divine,German
Dominik,,"Lordly, belonging to the Lord",German
Edith,,Prosperous in war,German
Elisabeth,,God is my oath,German
Emil,,Rival,German
Erich,,"Ruler, leader",German
Erika,,Eternal ruler,German
Eva,,"Life, living",German
Felix,,"Happy, fortunate",German
Florian,,"Flowering, flourishing",German
Franz,,Free man,German
Friedrich,,Peaceful ruler,German
Gabriel,,God is my strength,German
Georg,,"Farmer, earthworker",German
Gerhard,,Brave with the spear,German
Gisela,,"Pledge, oath",German
Gustav,,Staff of the gods,German
Hanna,,Graceful,German
Hans,,God is gracious,German
Heinrich,,Ruler of the household,German
Helmut,,"Helmet, protection",German
Hermann,,"Soldier, warrior",German
Hugo,,"Mind, intellect",German
Ida,,"Hardworking, diligent",German
Ines,,"Pure, holy",German
Irma,,"Universal, whole",German
Jakob,,Supplanter,German
Jan,,God is gracious,German
Johannes,,God is gracious,German
Julia,,"Youthful, soft-haired",German
Karl,,Free man,German
Klaus,,Victory of the people,German
Konrad,,Bold advisor,German
Kurt,,"Courteous, polite",German
Laura,,Laurel,German
Leo,,Lion,German
Leon,,Lion,German
Lothar,,Famous warrior,German
Ludwig,,Famous warrior,German
Magdalena,,Of Magdala,German
Manfred,,Peaceful strength,German
Maria,,"Beloved, sea of bitterness",German
Martin,,Warlike,German
Matthias,,Gift of God,German
Max,,Greatest,German
Maximilian,,Greatest,German
Michael,,Who is like God?,German
Monika,,"Advisor, counselor",German
Nathalie,,Birthday of the Lord,German
Nico,,Victory of the people,German
Norbert,,North bright,German
Oliver,,Olive tree,German
Otto,,"Wealthy, prosperous",German
Paula,,"Small, humble",German
Peter,,"Rock, stone",German
Philipp,,Lover of horses,German
Reinhard,,Brave counsel,German
Robert,,Bright fame,German
Rudolf,,Famous wolf,German
Sabrina,,Legendary princess,German
Samuel,,Heard by God,German
Sarah,,Princess,German
Sebastian,,Venerable,German
Sophie,,Wisdom,German
Stefan,,"Crown, garland",German
Susanne,,Lily,German
Theodor,,Gift of God,German
Thomas,,Twin,German
Ulrich,,Noble ruler,German
Ursula,,Little bear,German
Valentin,,"Strong, healthy",German
Vera,,Truth,German
Viktoria,,Victory,German
Wilhelm,,Resolute protector,German
Xavier,,New house,German
Yvonne,,Yew tree,German
Zacharias,,God has remembered,German
Zoe,,Life,German
Adele,,Noble,German
Anneliese,,Graceful and pledged,German
Armin,,"Whole, universal",German
Bernd,,Brave as a bear,German
Dorothea,,Gift of God,German
Elfriede,,Elf strength,German
Emilie,,Rival,German
Ferdinand,,Bold voyager,German
Friederike,,Peaceful ruler,German
Gabriele,,God is my strength,German
Helga,,Holy,German
Irmgard,,Protected by the sword,German
Jakobine,,Supplanter,German
Jürgen,,Farmer,German
Karla,,Free woman,German
Liselotte,,God's promise,German
Lorenz,,Laurel,German
Ludmila,,"Graceful, gentle",German
Margarete,,Pearl,German
Mathilde,,Strength in battle,German
Nicole,,Victory of the people,German
Ottilie,,Prosperous in battle,German
Romy,,Rose,German
Sabine,,Sabine woman,German
Siegfried,,Victory peace,German
Theresia,,Harvest,German
Valentina,,"Strong, healthy",German
Wanda,,Wanderer,German
Wilhelmina,,Resolute protector,German
Winfried,,Friend of peace,German
Aaron,,High mountain,Gallician
Adrián,,From Hadria,Gallician
Alba,,Dawn,Gallician
Alejandro,,Defender of the people,Gallician
Alicia,,"Noble, exalted",Gallician
Amparo,,Protection,Gallician
Andrés,,"Manly, brave",Gallician
Ángeles,,Angels,Gallician
Antón,,"Priceless, inestimable",Gallician
Ánxela,,Messenger,Gallician
Araceli,,Altar of heaven,Gallician
Beatriz,,Bringer of joy,Gallician
Benjamín,,Son of the right hand,Gallician
Blanca,,White,Gallician
Carlos,,Free man,Gallician
Carmen,,Song,Gallician
Carolina,,Free woman,Gallician
Cecilia,,"Blind, sixth",Gallician
Clara,,"Clear, bright",Gallician
Claudia,,"Lame, crippled",Gallician
Concepción,,Conception,Gallician
David,,Beloved,Gallician
Diana,,Divine,Gallician
Dolores,,Sorrows,Gallician
Eduardo,,Guardian of prosperity,Gallician
Elena,,Shining light,Gallician
Eloísa,,"Healthy, wide",Gallician
Enrique,,Ruler of the home,Gallician
Esperanza,,Hope,Gallician
Esteban,,"Crown, garland",Gallician
Eugenio,,Well-born,Gallician
Eva,,Life,Gallician
Félix,,"Happy, fortunate",Gallician
Francisco,,Free man,Gallician
Gabriela,,God is my strength,Gallician
Germán,,"German, warrior",Gallician
Gloria,,Glory,Gallician
Guillermo,,Resolute protector,Gallician
Isabel,,God is my oath,Gallician
Iván,,God is gracious,Gallician
Javier,,New house,Gallician
Jesús,,Salvation,Gallician
Jorge,,"Farmer, earthworker",Gallician
José,,God will increase,Gallician
Julia,,"Youthful, soft-haired",Gallician
Julián,,Youthful,Gallician
Laura,,Laurel,Gallician
Leopoldo,,Brave people,Gallician
Lorenzo,,Laurel,Gallician
Lucía,,Light,Gallician
Luis,,Famous warrior,Gallician
Manuel,,God is with us,Gallician
Margarita,,Pearl,Gallician
María,,"Beloved, sea of bitterness",Gallician
Mario,,"Male, manly",Gallician
Marta,,Lady,Gallician
Mateo,,Gift of God,Gallician
Matías,,Gift of God,Gallician
Miguel,,Who is like God?,Gallician
Mónica,,"Advisor, counselor",Gallician
Natalia,,Birthday of the Lord,Gallician
Nicolás,,Victory of the people,Gallician
Nuria,,Light,Gallician
Óscar,,God spear,Gallician
Paula,,"Small, humble",Gallician
Pedro,,"Rock, stone",Gallician
Rafael,,God has healed,Gallician
Raúl,,Wise wolf,Gallician
Ricardo,,Brave ruler,Gallician
Roberto,,Bright fame,Gallician
Rodrigo,,Famous ruler,Gallician
Rubén,,"Behold, a son",Gallician
Samuel,,Heard by God,Gallician
Sandra,,Defender of mankind,Gallician
Sergio,,Protector,Gallician
Silvia,,"Forest, wood",Gallician
Sonia,,Wisdom,Gallician
Susana,,Lily,Gallician
Tamara,,Date palm,Gallician
Teresa,,Harvest,Gallician
Tomás,,Twin,Gallician
Úrsula,,Little bear,Gallician
Valeria,,"Strong, healthy",Gallician
Vanessa,,Butterfly,Gallician
Verónica,,True image,Gallician
Víctor,,Victor,Gallician
Virginia,,Virgin,Gallician
Yolanda,,Violet flower,Gallician
Adriana,,From Hadria,Gallician
Alba,,Dawn,Gallician
Alicia,,"Noble, exalted",Gallician
Amalia,,"Hardworking, industrious",Gallician
Ana,,Graceful,Gallician
Anxo,,Angel,Gallician
Belén,,Bethlehem,Gallician
Braulio,,Armor,Gallician
Camila,,Helper,Gallician
Carme,,Song,Gallician
Celia,,Heavenly,Gallician
Clara,,"Clear, bright",Gallician
Cristina,,Follower of Christ,Gallician
Daniel,,God is my judge,Gallician
Daniela,,God is my judge,Gallician
Dora,,"Gift, present",Gallician
Evaristo,,Well-pleasing,Gallician
Federico,,Peaceful ruler,Gallician
Fernando,,Bold voyager,Gallician
Francisco,,Free man,Gallician
Gregorio,,"Watchful, vigilant",Gallician
Hugo,,"Mind, intellect",Gallician
Iago,,Supplanter,Gallician
Inés,,"Pure, holy",Gallician
Jacobo,,Supplanter,Gallician
Javier,,New house,Gallician
Joaquina,,God will increase,Gallician
Jonás,,Dove,Gallician
José,,God will increase,Gallician
José Antonio,,"God will increase, priceless",Gallician
Juan,,God is gracious,Gallician
Julia,,"Youthful, soft-haired",Gallician
Laura,,Laurel,Gallician
Leticia,,Joyful,Gallician
Luis,,Famous warrior,Gallician
Manuel,,God is with us,Gallician
Marta,,Lady,Gallician
Miguel,,Who is like God?,Gallician
Montserrat,,Mountainous,Gallician
Nerea,,"Bright, radiant",Gallician
Nuria,,Light,Gallician
Olga,,Holy,Gallician
Paula,,"Small, humble",Gallician
Pilar,,Pillar,Gallician
Raquel,,Ewe,Gallician
Rodrigo,,Famous ruler,Gallician
Rubén,,"Behold, a son",Gallician
Salvador,,Savior,Gallician
Sandra,,Defender of mankind,Gallician
Susana,,Lily,Gallician
Teresa,,Harvest,Gallician
Tomás,,Twin,Gallician
Vanessa,,Butterfly,Gallician
Verónica,,True image,Gallician
